class,tag,hex,mentioned,bin,n,tn,fp,spec,ci_lo,ci_hi,mean_prob
Intensity/exposure,KVP,180060,True,120.0,195,59,136,0.30256410256410254,0.2424143560239533,0.37034273303588117,0.7547482871794872
Intensity/exposure,KVP,180060,True,130.0,1,1,0,1.0,0.20654329147389294,1.0,0.014087
Intensity/exposure,KVP,180060,True,140.0,1,0,1,0.0,0.0,0.7934567085261071,0.977873
Intensity/exposure,XRayTubeCurrent,181151,True,"[0, 200)",7,2,5,0.2857142857142857,0.0822171657090155,0.6410709098517873,0.6720634285714285
Intensity/exposure,XRayTubeCurrent,181151,True,"[200, 300)",26,11,15,0.4230769230769231,0.255441899027294,0.6105170307888017,0.6510590384615385
Intensity/exposure,XRayTubeCurrent,181151,True,"[300, 400)",33,11,22,0.3333333333333333,0.19750029467803698,0.5039241820005003,0.6839577575757575
Intensity/exposure,XRayTubeCurrent,181151,True,"[400, 500)",22,10,12,0.45454545454545453,0.26920014432004846,0.6534052671095845,0.6438594090909091
Intensity/exposure,XRayTubeCurrent,181151,True,"[500, 10000)",7,0,7,0.0,0.0,0.35433884297520657,0.9404361428571428
Intensity/exposure,XRayTubeCurrent,181151,True,(missing),102,26,76,0.2549019607843137,0.18029540377477937,0.3473005509349,0.8158561862745098
Intensity/exposure,ConvolutionKernel,181210,False,(missing),102,26,76,0.2549019607843137,0.18029540377477937,0.3473005509349,0.8158561862745098
Intensity/exposure,ConvolutionKernel,181210,False,AA-1,1,0,1,0.0,0.0,0.7934567085261071,0.977873
Intensity/exposure,ConvolutionKernel,181210,False,B40,1,1,0,1.0,0.20654329147389294,1.0,0.014087
Intensity/exposure,ConvolutionKernel,181210,False,STANDARD,93,33,60,0.3548387096774194,0.26512726316736557,0.45606693436757817,0.6877267204301075
Intensity/exposure,ContrastBolusAgent,180010,True,&,1,0,1,0.0,0.0,0.7934567085261071,0.913309
Intensity/exposure,ContrastBolusAgent,180010,True,(missing),2,0,2,0.0,0.0,0.6576280471103807,0.990459
Intensity/exposure,ContrastBolusAgent,180010,True,APPLIED,1,1,0,1.0,0.20654329147389294,1.0,0.014087
Intensity/exposure,ContrastBolusAgent,180010,True,BARIUM  & OMNI,1,1,0,1.0,0.20654329147389294,1.0,0.00316
Intensity/exposure,ContrastBolusAgent,180010,True,BARIUM & NON IONIC,2,0,2,0.0,0.0,0.6576280471103807,0.911773
Intensity/exposure,ContrastBolusAgent,180010,True,BARIUM & OMNI,26,10,16,0.38461538461538464,0.22428359511834428,0.5746547996057992,0.6030073461538461
Intensity/exposure,ContrastBolusAgent,180010,True,CONT,1,0,1,0.0,0.0,0.7934567085261071,0.977873
Intensity/exposure,ContrastBolusAgent,180010,True,GASTRO & NON IONIC,3,2,1,0.6666666666666666,0.2076549551264879,0.9385096847238394,0.5810143333333334
Intensity/exposure,ContrastBolusAgent,180010,True,GASTRO & OMNI,43,16,27,0.37209302325581395,0.2437613889377433,0.5214046173472684,0.7235158604651163
Intensity/exposure,ContrastBolusAgent,180010,True,GASTRO & OMNI 300,1,0,1,0.0,0.0,0.7934567085261071,0.985657
Intensity/exposure,ContrastBolusAgent,180010,True,GASTRO & OMNIPAQUE,2,1,1,0.5,0.09452865480086614,0.9054713451991339,0.43059949999999997
Intensity/exposure,ContrastBolusAgent,180010,True,GASTRO & OMNIPAQUE 300,1,0,1,0.0,0.0,0.7934567085261071,0.996452
Intensity/exposure,ContrastBolusAgent,180010,True,H20 & OMNI,1,0,1,0.0,0.0,0.7934567085261071,0.921014
Intensity/exposure,ContrastBolusAgent,180010,True,H20 & OMNI300,1,1,0,1.0,0.20654329147389294,1.0,0.051484
Intensity/exposure,ContrastBolusAgent,180010,True,H20 & OMNIPAQUE,1,0,1,0.0,0.0,0.7934567085261071,0.98496
Intensity/exposure,ContrastBolusAgent,180010,True,H20 & OPTIRAY,1,0,1,0.0,0.0,0.7934567085261071,0.994268
Intensity/exposure,ContrastBolusAgent,180010,True,H2O & OMNI,13,5,8,0.38461538461538464,0.17709446581236818,0.6447751902773146,0.742683923076923
