class,tag,hex,mentioned,derived_applied,bin,n,tn,fp,spec,mean_prob,median_prob,ci_lo,ci_hi
Intensity/exposure,KVP,180060,True,,120.0,461,366,95,0.7939262472885033,0.3201400043383948,0.071545,0.7546460378640658,0.8283482552456729
Intensity/exposure,KVP,180060,True,,130.0,1,1,0,1.0,0.014087,0.014087,0.20654329147389294,1.0
Intensity/exposure,KVP,180060,True,,140.0,2,1,1,0.5,0.48535649999999997,0.48535649999999997,0.09452865480086614,0.9054713451991339
Intensity/exposure,XRayTubeCurrent,181151,True,,"[0, 200)",13,11,2,0.8461538461538461,0.23815776923076923,0.024742,0.5776482949136899,0.9567427368172621
Intensity/exposure,XRayTubeCurrent,181151,True,,"[200, 300)",56,45,11,0.8035714285714286,0.31214594642857146,0.039076,0.6815514267252283,0.8866151998355589
Intensity/exposure,XRayTubeCurrent,181151,True,,"[300, 400)",62,45,17,0.7258064516129032,0.32861633870967744,0.075046,0.6040722415667276,0.8211908140090788
Intensity/exposure,XRayTubeCurrent,181151,True,,"[400, 500)",55,49,6,0.8909090909090909,0.2210224727272727,0.035439,0.7817420620476804,0.9490334437169486
Intensity/exposure,XRayTubeCurrent,181151,True,,"[500, 10000)",20,15,5,0.75,0.38622595,0.19032,0.5312949900419365,0.888139947210597
Intensity/exposure,XRayTubeCurrent,181151,True,,(missing),258,203,55,0.7868217054263565,0.3400703488372093,0.0985335,0.7328280553220347,0.8323991660209454
Intensity/exposure,ConvolutionKernel,181210,False,,(missing),258,203,55,0.7868217054263565,0.3400703488372093,0.0985335,0.7328280553220347,0.8323991660209454
Intensity/exposure,ConvolutionKernel,181210,False,,AA-1,2,1,1,0.5,0.48535649999999997,0.48535649999999997,0.09452865480086614,0.9054713451991339
Intensity/exposure,ConvolutionKernel,181210,False,,B40,1,1,0,1.0,0.014087,0.014087,0.20654329147389294,1.0
Intensity/exposure,ConvolutionKernel,181210,False,,STANDARD,203,163,40,0.8029556650246306,0.29480981280788177,0.057037,0.7428295459005447,0.8518283952486245
Intensity/exposure,ContrastBolusAgent,180010,True,,&,2,2,0,1.0,0.3784495,0.3784495,0.34237195288961925,1.0
Intensity/exposure,ContrastBolusAgent,180010,True,,(missing),4,4,0,1.0,0.33925475,0.30082949999999997,0.5100999795960008,1.0
Intensity/exposure,ContrastBolusAgent,180010,True,,APPLIED,1,1,0,1.0,0.014087,0.014087,0.20654329147389294,1.0
Intensity/exposure,ContrastBolusAgent,180010,True,,BARIUM  & OMNI,1,1,0,1.0,0.00316,0.00316,0.20654329147389294,1.0
Intensity/exposure,ContrastBolusAgent,180010,True,,BARIUM & NON IONIC,3,2,1,0.6666666666666666,0.4740853333333333,0.584272,0.2076549551264879,0.9385096847238394
Intensity/exposure,ContrastBolusAgent,180010,True,,BARIUM & OMNI,53,39,14,0.7358490566037735,0.3198329622641509,0.028915,0.6041907894277545,0.8356279348868316
Intensity/exposure,ContrastBolusAgent,180010,True,,CONT,2,1,1,0.5,0.48535649999999997,0.48535649999999997,0.09452865480086614,0.9054713451991339
Intensity/exposure,ContrastBolusAgent,180010,True,,GASTRO & NON IONIC,4,4,0,1.0,0.276404,0.2082105,0.5100999795960008,1.0
Intensity/exposure,ContrastBolusAgent,180010,True,,GASTRO & OMNI,98,85,13,0.8673469387755102,0.2654026326530612,0.0724885,0.7861693677036048,0.9208108839813649
Intensity/exposure,ContrastBolusAgent,180010,True,,GASTRO & OMNI 300,5,4,1,0.8,0.3485584,0.204456,0.3755282641185388,0.9637768390302125
Intensity/exposure,ContrastBolusAgent,180010,True,,GASTRO & OMNIPAQUE,2,2,0,1.0,0.0032189999999999996,0.0032189999999999996,0.34237195288961925,1.0
Intensity/exposure,ContrastBolusAgent,180010,True,,GASTRO & OMNIPAQUE 300,3,1,2,0.3333333333333333,0.9104679999999999,0.981251,0.0614903152761605,0.7923450448735121
Intensity/exposure,ContrastBolusAgent,180010,True,,H20 & OMNI,3,2,1,0.6666666666666666,0.3329503333333333,0.002103,0.2076549551264879,0.9385096847238394
