tag,hex,class,mentioned_in_paper,fill_rate,n_unique_bins,n_testable_bins,status,kw_H,kw_p,mean_min,mean_max,spec_min,spec_max,kw_p_fdr,significant_fdr,mean_delta
KVP,180060,Intensity/exposure,True,1.0,3,1,insufficient,,,0.7547482871794872,0.7547482871794872,0.30256410256410254,0.30256410256410254,,False,0.0
XRayTubeCurrent,181151,Intensity/exposure,True,0.48223350253807107,5,5,testable,4.933279001699987,0.29421225401471335,0.6438594090909091,0.9404361428571428,0.0,0.45454545454545453,0.462333542023121,False,0.2965767337662337
ConvolutionKernel,181210,Intensity/exposure,False,0.48223350253807107,3,1,insufficient,,,0.6877267204301075,0.6877267204301075,0.3548387096774194,0.3548387096774194,,False,0.0
ContrastBolusAgent,180010,Intensity/exposure,True,0.9898477157360406,27,6,testable,10.865685625620245,0.054109044076172515,0.6030073461538461,0.9348532,0.2,0.4,0.2975997424189488,False,0.33184585384615395
CTDIvol,189345,Intensity/exposure,False,0.0,0,0,fully_missing,,,,,,,,False,
ContrastFlowRate,181046,Intensity/exposure,True,0.0,0,0,fully_missing,,,,,,,,False,
Exposure_uAs,181153,Intensity/exposure,False,0.0,0,0,fully_missing,,,,,,,,False,
RevolutionTime,189305,Intensity/exposure,False,0.06091370558375635,2,1,insufficient,,,0.7782209090909091,0.7782209090909091,0.18181818181818182,0.18181818181818182,,False,0.0
ReconstructionAlgorithm,189315,Intensity/exposure,False,0.0,0,0,fully_missing,,,,,,,,False,
ContrastBolusAgentPhase,189344,Intensity/exposure,True,0.0,0,0,fully_missing,,,,,,,,False,
SliceThickness,180050,Geometry,True,1.0,4,3,testable,12.724956817313227,0.001725085941368571,0.5692781481481481,0.7924786962025316,0.25316455696202533,0.48148148148148145,0.018975945355054282,True,0.2232005480543835
Rows,280010,Geometry,False,1.0,1,1,invariant,,,0.7521211979695431,0.7521211979695431,0.30456852791878175,0.30456852791878175,,False,0.0
Columns,280011,Geometry,False,1.0,1,1,invariant,,,0.7521211979695431,0.7521211979695431,0.30456852791878175,0.30456852791878175,,False,0.0
PixelSpacing,280030,Geometry,False,1.0,4,4,testable,5.074347798773715,0.16643328557923526,0.6991784615384616,0.8042818181818181,0.20454545454545456,0.38461538461538464,0.45769153534289697,False,0.10510335664335646
ReconstructionDiameter,181100,Geometry,False,1.0,5,4,testable,4.303771194488604,0.2304756067221348,0.6424446153846154,0.7760983043478261,0.27472527472527475,0.4230769230769231,0.462333542023121,False,0.13365368896321073
WindowCenter,281050,Geometry,False,1.0,7,2,testable,2.389414414414432,0.12215938064679588,0.6632761666666667,0.7536763945945947,0.2972972972972973,0.6666666666666666,0.4479177290382516,False,0.09040022792792801
WindowWidth,281051,Geometry,False,1.0,6,2,testable,1.1192051471844024,0.2900896706904468,0.6904359,0.754426445054945,0.2967032967032967,0.5,0.462333542023121,False,0.06399054505494506
TotalCollimationWidth,189307,Geometry,False,0.06091370558375635,2,2,testable,0.05934065934066268,0.8075411062892531,0.75118,0.8246181428571429,0.14285714285714285,0.2,0.8882952169181785,False,0.0734381428571429
SpiralPitchFactor,189311,Geometry,True,0.06091370558375635,2,2,testable,0.05934065934066268,0.8075411062892531,0.75118,0.8246181428571429,0.14285714285714285,0.2,0.8882952169181785,False,0.0734381428571429
TableSpeed,189309,Geometry,False,0.06091370558375635,2,2,testable,0.05934065934066268,0.8075411062892531,0.75118,0.8246181428571429,0.14285714285714285,0.2,0.8882952169181785,False,0.0734381428571429
SpacingBetweenSlices,180088,Geometry,False,0.0,0,0,fully_missing,,,,,,,,False,
ReformattingThickness,720512,Geometry,True,0.0,0,0,fully_missing,,,,,,,,False,
ManufacturerModelName,081090,Device,True,1.0,7,5,testable,0.733345544940903,0.9471539625342733,0.6561521428571429,0.7930712666666667,0.2222222222222222,0.42857142857142855,0.9471539625342733,False,0.13691912380952387
Manufacturer,080070,Device,True,1.0,3,1,insufficient,,,0.7547482871794872,0.7547482871794872,0.30256410256410254,0.30256410256410254,,False,0.0
BodyPartExamined,180015,Anatomy/position,True,0.01015228426395939,1,0,fully_missing,,,,,,,,False,
PatientPosition,185100,Anatomy/position,False,1.0,2,1,insufficient,,,0.7559471785714286,0.7559471785714286,0.3010204081632653,0.3010204081632653,,False,0.0
